step,inference_time_sec,action_dx,action_dy,action_dz,action_droll,action_dpitch,action_dyaw,action_gripper,timestamp
0,0.2925,0.005362,0.00285,-0.000659,0.0,0.0,0.0,0.0,12:58:26.794442
1,0.2949,0.003641,0.007611,-0.001389,0.0,0.0,0.0,0.0,12:58:27.612289
2,0.3304,0.001109,0.007559,-5e-05,0.0,0.0,0.0,0.0,12:58:28.476346
3,0.2567,0.001008,0.011027,-0.000415,0.0,0.0,0.0,0.0,12:58:29.257683
4,0.2286,0.001008,0.010664,0.000559,0.0,0.0,0.0,0.0,12:58:29.992270
5,0.2296,0.001008,0.010664,0.000559,0.0,0.0,0.0,0.0,12:58:30.721544
6,0.2458,0.001008,0.009629,0.000194,0.0,0.0,0.0,0.0,12:58:31.492053
7,0.2316,0.001008,0.009629,0.001412,0.0,0.0,0.0,0.0,12:58:32.248602
8,0.2438,0.001008,0.009629,0.001534,0.0,0.0,0.0,0.0,12:58:33.024869
9,0.2858,0.001008,0.009629,0.001412,0.0,0.0,0.0,0.0,12:58:33.824978
10,0.3288,0.001008,0.007197,0.00129,0.0,0.0,0.0,0.0,12:58:34.663707
11,0.3194,0.000603,0.007249,0.00129,0.0,0.0,0.0,0.0,12:58:35.499377
12,0.2767,0.0004,0.003316,0.000681,0.0,0.0,0.0,0.0,12:58:36.280749
13,0.2271,0.0004,0.003368,0.000681,0.0,0.0,0.0,0.0,12:58:37.029133
14,0.2767,0.000299,0.00373,0.000681,0.0,0.0,0.0,0.0,12:58:37.833737
15,0.2302,0.000299,0.004558,-0.001268,0.0,0.0,0.0,0.0,12:58:38.579766
16,0.4488,0.000299,0.005075,-0.006748,0.0,0.0,0.0,0.0,12:58:39.550547
17,0.2902,0.000299,0.003368,-0.01235,0.0,0.0,0.0,0.0,12:58:40.338513
18,0.5193,9.6e-05,0.003264,-0.01369,0.0,0.0,0.0,0.0,12:58:41.361852
19,0.3446,9.6e-05,0.000884,-0.014786,0.0,0.0,0.0,0.0,12:58:42.230098
20,0.5192,9.6e-05,0.000884,-0.014786,0.0,0.0,0.0,0.0,12:58:43.288048
21,0.297,-0.000106,-0.000617,-0.011376,0.0,0.0,0.0,0.0,12:58:44.122654
22,0.2304,-0.000106,-0.000617,-0.011376,0.0,0.0,0.0,0.0,12:58:44.894913
23,0.5575,-0.000106,-0.001135,-0.008453,0.0,0.0,0.0,0.0,12:58:45.959592
24,0.3287,-0.000106,-0.001135,-0.008453,0.0,0.0,0.0,0.0,12:58:46.812427
25,0.6226,-0.000106,-0.001135,-0.008453,0.0,0.0,0.0,0.0,12:58:47.953072
26,0.2416,-0.000106,-0.001135,-0.008453,0.0,0.0,0.0,0.0,12:58:48.699348
27,0.6669,-0.000207,-0.001342,-0.006626,0.0,0.0,0.0,0.0,12:58:49.876686
28,0.8772,-0.000207,-0.001342,-0.006504,0.0,0.0,0.0,0.0,12:58:51.257109
29,0.2574,-0.000106,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:58:52.061402
30,1.0529,9.6e-05,-0.001083,-0.004678,0.0,0.0,0.0,0.0,12:58:53.762026
31,0.6057,9.6e-05,-0.001083,-0.003338,0.0,0.0,0.0,0.996078,12:58:55.109724
32,0.3686,9.6e-05,-0.001083,-0.004678,0.0,0.0,0.0,0.0,12:58:56.159250
33,0.487,9.6e-05,-0.001083,-0.003338,0.0,0.0,0.0,0.996078,12:58:57.362178
34,1.2447,9.6e-05,-0.001083,-0.004678,0.0,0.0,0.0,0.0,12:58:59.329052
35,0.2982,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:00.307091
36,0.9058,-0.000106,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:59:01.924677
37,0.5775,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:03.231954
38,0.2819,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:04.253087
39,0.2785,-5e-06,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:59:05.246781
40,0.8473,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:06.824190
41,0.5958,-5e-06,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:59:08.156320
42,0.8163,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:09.709232
43,0.2897,-5e-06,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:59:10.722209
44,0.3092,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:11.761748
45,0.322,-5e-06,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:59:12.777194
46,0.6883,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:14.106805
47,0.5265,-5e-06,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:59:15.281448
48,0.6378,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:16.552189
49,0.3622,-5e-06,4e-06,-5e-05,0.0,0.0,0.0,0.996078,12:59:17.530671
50,0.5327,-5e-06,-0.001031,-0.004556,0.0,0.0,0.0,0.0,12:59:18.654358
